ticker,name,currency,exchange,industry,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
czr,Caesars Entertainment Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,265,228,200,693,2022-04-16,B,Medium,1590895,-4.19,5420000000.0
dltr,Dollar Tree Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,B,Medium,B,Medium,B,Medium,235,208,215,658,2022-04-17,B,Medium,935703,5.8,7737300000.0
dxcm,Dexcom Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,B,Medium,B,Medium,B,Medium,215,236,215,666,2022-04-17,B,Medium,1093557,0.82,1883100000.0
ea,Electronic Arts Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,BB,Medium,BB,Medium,B,Medium,360,300,225,885,2022-04-17,BB,Medium,712515,2.76,5132000000.0
lnt,Alliant Energy Corp,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,A,High,BB,Medium,BB,Medium,519,307,300,1126,2022-04-16,BBB,High,352541,2.73,1709000000.0
fang,Diamondback Energy Inc,USD,NASDAQ NMS - GLOBAL MARKET,Energy,A,High,B,Medium,BB,Medium,513,271,300,1084,2022-04-17,BBB,High,1539838,24.61,6778000000.0
ebay,eBay Inc,USD,NASDAQ NMS - GLOBAL MARKET,Retail,A,High,BB,Medium,BB,Medium,500,302,305,1107,2022-04-17,BBB,High,1065088,-2.27,7115000000.0
lkq,LKQ Corp,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,BB,Medium,515,300,305,1120,2022-04-18,BBB,High,1065696,4.14,5223000000.0
googl,Alphabet Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,BB,Medium,BB,Medium,295,362,355,1012,2022-04-30,BBB,High,1652044,4.56,156633000000.0
mar,Marriott International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Hotels Restaurants and Leisure,B,Medium,B,Medium,B,Medium,215,200,215,630,2022-04-18,B,Medium,1048286,7.24,4558000000.0
mchp,Microchip Technology Inc,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-18,BBB,High,827054,2.27,4449600000.0
lrcx,Lam Research Corp,USD,NASDAQ NMS - GLOBAL MARKET,Semiconductors,A,High,BB,Medium,BB,Medium,510,325,315,1150,2022-04-18,BBB,High,707549,3.275,7871807000.0
mdlz,Mondelez International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,A,High,BB,Medium,BB,Medium,520,307,300,1127,2022-04-18,BBB,High,1103982,1.96,11312000000.0
meta,Meta Platforms Inc,USD,NASDAQ NMS - GLOBAL MARKET,Media,B,Medium,B,Medium,B,Medium,205,232,215,652,2022-04-22,B,Medium,1326801,8.59,91360000000.0
mktx,Marketaxess Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,B,Medium,B,Medium,B,Medium,230,213,210,653,2022-04-18,B,Medium,1278021,6.65,536196000.0
mnst,Monster Beverage Corp,USD,NASDAQ NMS - GLOBAL MARKET,OTHERS,A,High,BB,Medium,BB,Medium,515,344,300,1159,2022-04-18,BBB,High,865752,1.115,3174567000.0
