ticker,name,currency,exchange,industry,logo,weburl,environment_grade,environment_level,social_grade,social_level,governance_grade,governance_level,environment_score,social_score,governance_score,total_score,last_processing_date,total_grade,total_level,cik,annual_eps,gross_profit
aei,Alset Ehome International Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/98c8d7c249f43e2d9209af2a93fb646dc774a1a85a30840fc88e94859962870c.png,http://www.hfenterp.com,A,High,B,Medium,B,Medium,520,207,210,937,2022-04-20,BBB,High,1750106,-6.22,748452.0
aeis,Advanced Energy Industries Inc,USD,NASDAQ NMS - GLOBAL MARKET,Electrical Equipment,https://static.finnhub.io/logo/9ae27426-80df-11ea-a9fa-00000000092a.png,https://www.advancedenergy.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-16,BBB,High,927003,5.29,675506000.0
aep,American Electric Power Company Inc,USD,NASDAQ NMS - GLOBAL MARKET,Utilities,https://static.finnhub.io/logo/65ca8abe-80eb-11ea-9cac-00000000092a.png,https://www.aep.com/,A,High,BB,Medium,BB,Medium,500,300,300,1100,2022-04-20,BBB,High,4904,4.49,11292200000.0
aemd,Aethlon Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/63fe5910-80d2-11ea-bdd5-00000000092a.png,https://www.aethlonmedical.com/,B,Medium,B,Medium,BB,Medium,200,262,315,777,2022-04-16,BB,Medium,882291,0.0,0.0
aeye,AudioEye Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/d47b30ac-80da-11ea-acae-00000000092a.png,https://www.audioeye.com/,B,Medium,BB,Medium,BB,Medium,235,301,308,844,2022-04-16,BB,Medium,1362190,-0.91,22694000.0
afmd,Affimed NV,EUR,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/29cc761a-80d0-11ea-ab42-00000000092a.png,https://www.affimed.com/,BB,Medium,BB,Medium,BB,Medium,368,304,310,982,2022-04-16,BBB,High,1608390,0.0,0.0
afcg,AFC Gamma Inc,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/f0ef42fade24d578bbdf91be70ad822290a91ced952da4c22093df2e1c015b1b.png,https://afcgamma.com/,B,Medium,B,Medium,B,Medium,255,204,226,685,2022-06-10,B,Medium,1822523,0.0,0.0
afbi,Affinity Bancshares Inc,USD,NASDAQ NMS - GLOBAL MARKET,Banking,,https://communityfirstbancshares.q4ir.com/,B,Medium,B,Medium,B,Medium,200,207,200,607,2022-06-10,B,Medium,1823406,0.0,0.0
afrm,Affirm Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static2.finnhub.io/file/publicdatany/finnhubimage/stock_logo/AFRM.png,https://www.affirm.com/,B,Medium,BB,Medium,BB,Medium,225,335,335,895,2022-06-10,BB,Medium,1820953,-2.51,772835000.0
afib,Acutus Medical Inc,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/352bd59a63f14910c54166ecc5aa8f67ac11b7d8828185bc023d5915d7cf0457.png,http://www.acutusmedical.com/,B,Medium,B,Medium,B,Medium,205,211,235,651,2022-06-10,B,Medium,1522860,-1.4,-1910000.0
agen,Agenus Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/9ccb30fe-80df-11ea-993b-00000000092a.png,https://agenusbio.com/,B,Medium,B,Medium,BB,Medium,290,245,300,835,2022-04-16,BB,Medium,1098972,-15.6,-99235000.0
afya,Afya Ltd,BRL,NASDAQ NMS - GLOBAL MARKET,Diversified Consumer Services,https://static.finnhub.io/logo/c57ab10fd72c2aa8b1db15524838647943d52bf5f5ad9be3c1f19d9c5c03a762.png,https://www.afya.com.br/,B,Medium,B,Medium,B,Medium,290,203,205,698,2022-06-10,B,Medium,1771007,4.12,1469505000.0
agfy,Agrify Corp,USD,NASDAQ NMS - GLOBAL MARKET,Machinery,https://static.finnhub.io/logo/aa5216aab348419b7fcfc5d9d79e4b271d486e16e75a4938dee5bd2343263eb9.png,https://www.agrify.com/,A,High,BB,Medium,BB,Medium,540,361,305,1206,2022-06-10,A,High,1800637,-13532.849993,-31795000.0
agmh,AGM Group Holdings Inc,USD,NASDAQ NMS - GLOBAL MARKET,Financial Services,https://static.finnhub.io/logo/7f908b9c-80db-11ea-96c9-00000000092a.png,http://www.agmprime.com/,B,Medium,B,Medium,B,Medium,205,204,210,619,2022-06-10,B,Medium,1705402,0.47,46588490.0
agio,Agios Pharmaceuticals Inc,USD,NASDAQ NMS - GLOBAL MARKET,Biotechnology,https://static.finnhub.io/logo/4298fc14-80ce-11ea-ace7-00000000092a.png,https://www.agios.com/,A,High,BB,Medium,BB,Medium,520,303,325,1148,2022-04-16,BBB,High,1439222,-4.23,12536000.0
agnc,AGNC Investment Corp,USD,NASDAQ NMS - GLOBAL MARKET,Real Estate,https://static.finnhub.io/logo/2f35e91b0085245b224c9799c269249eec328a9687dcd6c3345b79a268802cb0.png,https://agnc.com/,BB,Medium,B,Medium,BB,Medium,382,242,305,929,2022-04-16,BBB,High,1423689,0.0,0.0
agri,AgriFORCE Growing Systems Ltd,USD,NASDAQ NMS - GLOBAL MARKET,Food Products,https://static.finnhub.io/logo/13b2627f534d45aba679196877fcbf2fe8af01324ddfa2aecc3dbba8c1132239.png,https://agriforcegs.com/,A,High,B,Medium,BB,Medium,510,248,305,1063,2022-06-11,BBB,High,1826397,-35.6,0.0
agys,Agilysys Inc,USD,NASDAQ NMS - GLOBAL MARKET,Technology,https://static.finnhub.io/logo/9f139b98-80df-11ea-bde1-00000000092a.png,https://www.agilysys.com/,A,High,BB,Medium,BB,Medium,500,303,300,1103,2022-04-16,BBB,High,78749,0.18,101532000.0
ahco,Adapthealth Corp,USD,NASDAQ NMS - GLOBAL MARKET,Health Care,https://static.finnhub.io/logo/0d255d71bb558e608b96ab76dc546dbaef93419ed054817b132789da3b0c0350.png,https://adapthealth.com/investor-relations/,B,Medium,B,Medium,B,Medium,210,211,235,656,2022-06-10,B,Medium,1725255,0.33,417426000.0
aib,AIB Acquisition Corp,USD,NASDAQ NMS - GLOBAL MARKET,,,,B,Medium,B,Medium,BB,Medium,215,227,300,742,2022-05-24,B,Medium,1882963,0.0,0.0
